nivel,provincia,codigo,nombre,hogares,propia,escritura,boleto,otra_doc,sin_doc,alquilada,cedida_trabajo,prestada,otra
partido,Buenos Aires,06301,General Belgrano,7951,5244,4040,669,390,145,1564,292,497,354
partido,Buenos Aires,06308,General Guido,1233,790,519,64,144,63,151,142,105,45
partido,Buenos Aires,06315,General Juan Madariaga,8241,5478,3737,849,438,454,1297,330,695,441
partido,Buenos Aires,06322,General La Madrid,4622,3224,2367,420,262,175,587,317,310,184
partido,Buenos Aires,06329,General Las Heras,6228,3908,2978,436,270,224,1238,325,464,293
partido,Buenos Aires,06336,General Lavalle,1697,1257,626,341,210,80,152,89,106,93
partido,Buenos Aires,06343,General Paz,5240,3357,2179,392,594,192,1023,298,326,236
partido,Buenos Aires,06351,General Pinto,4848,3324,2264,280,436,344,761,229,356,178
partido,Buenos Aires,06357,General Pueyrredón,259623,161664,120682,23621,9485,7876,64483,2722,17169,13585
partido,Buenos Aires,06364,General Rodríguez,45922,34853,13309,10418,5362,5764,5496,469,2700,2404
partido,Buenos Aires,06385,General Viamonte,7520,5161,3481,561,566,553,1243,198,568,350
partido,Buenos Aires,06392,General Villegas,12830,8618,5682,975,1159,802,2219,535,848,610
partido,Buenos Aires,06399,Guaminí,4656,3149,2450,247,290,162,783,253,271,200
partido,Buenos Aires,06406,Hipólito Yrigoyen,3911,2574,1943,166,317,148,703,200,245,189
partido,Buenos Aires,06413,Junín,39095,25554,19088,3229,2034,1203,9367,349,2068,1757
partido,Buenos Aires,06420,La Costa,38243,23362,16889,3899,1765,809,8922,593,3134,2232
partido,Buenos Aires,06441,La Plata,298336,187445,131235,23449,13871,18890,78201,1846,15238,15606
partido,Buenos Aires,06448,Laprida,4424,3066,2369,229,317,151,726,197,252,183
partido,Buenos Aires,06455,Las Flores,10230,7268,4945,978,839,506,1664,322,577,399
partido,Buenos Aires,06462,Leandro N. Alem,6591,4520,3135,449,587,349,1211,140,467,253
partido,Buenos Aires,06466,Lezama,2418,1542,1169,168,126,79,493,127,157,99
partido,Buenos Aires,06469,Lincoln,17592,11695,8266,1183,1411,835,3545,595,1049,708
partido,Buenos Aires,06476,Lobería,6847,4586,3347,421,483,335,1080,511,372,298
partido,Buenos Aires,06483,Lobos,14900,9889,7485,1063,803,538,2723,562,999,727
partido,Buenos Aires,06497,Luján,39254,25857,18179,3977,1867,1834,8447,547,2410,1993
partido,Buenos Aires,06505,Magdalena,7765,4754,3168,671,620,295,1584,499,500,428
partido,Buenos Aires,06511,Maipú,4406,2987,2270,325,275,117,638,210,335,236
partido,Buenos Aires,06518,Mar Chiquita,12375,8335,6173,993,745,424,2095,397,903,645
partido,Buenos Aires,06525,Marcos Paz,20790,14704,6402,5706,1308,1288,3291,309,1401,1085
partido,Buenos Aires,06532,Mercedes,26205,16333,12236,1842,1486,769,5993,600,1988,1291
partido,Buenos Aires,06547,Monte,8781,5399,3903,786,455,255,1856,462,616,448
partido,Buenos Aires,06553,Monte Hermoso,3449,2039,1442,204,242,151,943,62,231,174
partido,Buenos Aires,06574,Navarro,7014,4449,3366,347,376,360,1305,378,545,337
partido,Buenos Aires,06581,Necochea,39406,25814,18808,3072,2422,1512,8105,558,2556,2373
partido,Buenos Aires,06588,9 de Julio,20010,12928,10392,1245,764,527,4344,496,1327,915
partido,Buenos Aires,06595,Olavarria,46337,29441,22127,3228,3089,997,11429,767,2734,1966
partido,Buenos Aires,06602,Patagones,14238,9084,5553,1884,1092,555,3035,248,1118,753
partido,Buenos Aires,06609,Pehuajó,17311,11256,8085,1080,1218,873,3494,480,1260,821
partido,Buenos Aires,06616,Pellegrini,2692,1712,1292,151,216,53,607,114,175,84
partido,Buenos Aires,06623,Pergamino,42772,28909,22023,2629,2347,1910,8475,580,2737,2071
partido,Buenos Aires,06630,Pila,1713,1127,610,115,291,111,152,249,101,84
partido,Buenos Aires,06638,Pilar,126339,88916,42443,27739,7464,11270,23512,911,6914,6086
partido,Buenos Aires,06644,Pinamar,14279,7684,5723,1375,406,180,4816,283,911,585
partido,Buenos Aires,06648,Presidente Perón,30598,23671,8386,8969,2333,3983,2862,144,2019,1902
partido,Buenos Aires,06651,Puan,7180,5023,3776,365,632,250,1284,220,331,322
partido,Buenos Aires,06655,Punta Indio,4747,3088,2145,374,399,170,798,286,286,289
partido,Buenos Aires,06665,Ramallo,13490,9576,6317,1591,894,774,2324,225,756,609
partido,Buenos Aires,06672,Rauch,6389,4191,2877,379,584,351,1221,354,379,244
partido,Buenos Aires,06679,Rivadavia,7196,4747,3630,450,377,290,1331,411,441,266
partido,Buenos Aires,06686,Rojas,9655,6739,5199,728,438,374,1574,217,639,486
partido,Buenos Aires,06693,Roque Pérez,5237,3324,2416,304,383,221,1205,260,272,176
